,Date,Tweets,Prices
0,2013-12-31,RT philstockworld Summary of Yesterdays Webcast Featuring AAPL WYNN GOOG LGF TraderEducation Options HedgingStrategies  http,20
1,2014-01-01,RT philstockworld Summary of Yesterdays Webcast Featuring AAPL WYNN GOOG LGF TraderEducation Options HedgingStrategies  http,19.5
2,2014-01-01,iTV Will Boost Apple httptco8dup4cQc08 AAPL APPLE,19.5
3,2014-01-01,iPhone users are more intelligent than Samsung BlackBerry and HTC owners AAPL BBRY httptcoLGxRwuypyc,19.5
4,2014-01-01,2013 WrapUp And Trading Set Review  Part III httptco7UbPGZRBGv AAPL APPLE BP CNW CSCO CSX CVX GOOG HPQ IBM INTC NGG,19.5
5,2014-01-01,Apple Screwed Up Big Time httptcoQ2Pzk2VOMm AMZN AAPL,19.5
6,2014-01-01,Big Tunas Stocks  AAPL Daily Chart  Range is Getting httptcovwkwgXx15k,19.5
7,2014-01-02,AAPL Kara Swisher and Walt Mossberg launch Recode httptcoZvJJiohosy,19
8,2014-01-02,AAPL Lets not let the WF downgrade overshadow Cantors 2014 top large cap pick with a 777 price target,19
9,2014-01-02,Will 2014 be Apples year of innovation httptcoGkDVTnpbDT or year of grossmargin pressure httptcov1pFrhK4QQ AAPL,19
10,2014-01-02,AAPL  PreMarket Apple Downgraded on Margin Concerns Stocks to Start 2014  gt httptcoJ7APp6oJ6v stock stocks stockaction,19
11,2014-01-02,AAPL How Is Tim Cook Doing Taking Over From The Legendary Steve Jobs httptcoA6gnvXPLaN,19
12,2014-01-02,RT MWAAPL Apple slips Urban Outfitters up on analyst call httptcoret4iajdrQ AAPL,19
13,2014-01-02,AAPL Cleaning the Mobile Germ Warehouse httptcoccmsRgWSjd,19
14,2014-01-02,This weeks AAPL 550 puts are already up a dollar today,19
15,2014-01-02,Thursday headlines include news on CPB NYT AAPL WMT and NFLX httptcoSI4DNYMz1H,19
16,2014-01-02,AAPL The Zacks Analyst Blog Highlights Apple Nokia httptcocB6q1uGILs Microsoft and SolarWinds httptcod6s3BVCfsR,19
17,2014-01-02,I bought a new TV this year Would probably have been a AAPL TV if they made one competition didnt seem to be very strong,19
18,2014-01-02,AAPL video Apple Denies Working With NSA and More httptcoVDXNDglE2c,19
19,2014-01-02,RT philstockworld Our Top 3 Trade Ideas for 2014 and Two 1000 Futures Wins Already in the Bank GLD USO AAPL  httptcoNlmUMm2iiH,19
20,2014-01-02,AAPL  Apple Will Be The Main Victim Of Microsoft And Google Cutthroat Smartp gt httptcoRkPYPzAjpx stock stocks stockaction,19
21,2014-01-02,RT FortuneMagazine Apple gained 8 in 2013 vs SampPs 30 but dont cry for AAPL investors At least not the long term ones httptcoX,19
22,2014-01-02,AAPL US STOCKSWall St kicks off New Year on lower note httptco6fybNFG2Jj,19
23,2014-01-02,What are your top picks for Q1 2014 Here are mine AAPL CREE FB CLDX SNE,19
24,2014-01-02,AAPL  Chinas Xiaomi says to more than double smartphone sales in 2014 gt httptco3Cd2Qt5rhD stock stocks stockaction,19
25,2014-01-02,AAPL BlackBerry and singer Alicia Keys to part ways httptcoIu5q7k4g1O,19
26,2014-01-02,Emylers Cheekys Board AAPL Up to date company activities and other impo httptco6PLcfrTV55,19
27,2014-01-02,DrPaulyDeSantis AAPL having breathing difficulties,19
28,2014-01-02,New Education SupplyDemand Zones AccumulationDistribution amp Price Patterns httptcoIA7BJllORO SPY QQQ IWM AAPL TWTR STUDY,19
29,2014-01-02,RT StockTwits Heres how Apple could be making a huge push into healthcare gt httptcond4QHzdEyX AAPL,19
30,2014-01-02,AAPL  Wall St kicks off New Year on lower note gt httptcoGUoph3R13c stock stocks stockaction,19
31,2014-01-03,the good support for AAPL today is 54102 httptcoFMMliQrLgE,19
32,2014-01-03,Bloggers trading AAPL stupid againNSA malicious hackers amp thenBefore it becomes farceMaybe next try to parseWhat any means amp when,19
33,2014-01-03,AAPL new lows still holding half lotto 54250 puts,19
34,2014-01-03,RT nanexllc 50 of trades in AAPL today are for less than 100 shares oddlots,19
35,2014-01-03,Overall market VIX is down 35 where as AAPL IV is up 372 If this is not a preevent shakedown then there is no more trading for me,19
36,2014-01-03,AAPL  Online Retail Sales Up in Q4 gt httptcoEHm08GMOYv stock stocks stockaction,19
37,2014-01-03,Best position Today  GLD  noncore long   Worst  AAPL corelong   FVAM  stockaction,19
38,2014-01-03,AAPL is soooo pathetic One has to wonder if iCahn is selling 544 must hold,19
39,2014-01-03,AAPL BlackBerry sues Ryan Seacrests company over iPhone keyboard httptco1XLRHPWZ7p,19
40,2014-01-03,RT 2kaykim hmm not so much for AAPL  we got this double top threat goin on here,19
41,2014-01-03,BBRY AAPL BlackBerry files suit against Typo Full Story httptcoDH3gCB3oQM,19
42,2014-01-03,RT SAI GOOGLES DIRTY SECRET Android Phones Are Basically Used As Dumbphones AAPL GOOG by JimEdwards httptcoyTDfXnikau,19
43,2014-01-03,RT takingstock614 Also added AAPL common here w 541 stop,19
44,2014-01-03,AAPL Apple Sale Best Buy Temporarily Cuts iPhone 5S Price httptcoivaGEpfuqa,19
45,2014-01-03,AAPL was below this level two weeks ago and then jumped to 570 the following week CHL news Earnings run up will be next catalyst,19
46,2014-01-03,The FiveYearOld iPad When Will People Stop UpgradingAAPL aapl  httptcoVv0WElpTs2,19
47,2014-01-03,RT philstockworld Our Top 3 Trade Ideas for 2014 and Two 1000 Futures Wins Already in the Bank GLD USO AAPL  httptcoNlmUMm2iiH,19
48,2014-01-03,RT LouisvilleWhale Trimmer3098 What I like about AAPL long term is its 95 PE excash gives it a floor on valuation Only hi quality s,19
49,2014-01-04,AAPL  Boeing contract with machinists  details of agreement gt httptcolITCQxFPEw stock stocks stockaction,19.0
50,2014-01-04,ClayTrader   AAPL Video Chart 1314   ClayTrader httptcopgdM0CoEjP,19.0
51,2014-01-04,RT ValaAfshar January 3 1977  Steve Jobs and Steve Wozniak incorporated Apple Computer Company AAPL,19.0
52,2014-01-04,Apple iWatch reportedly already in production httptcop55qscXlNC IBDBlogs via IBDinvestors  AAPL QCOM SNE NKE,19.0
53,2014-01-04,Apple Stock Forecast Playing AAPL  SampP 500 Spread As Market Neutral Strategy   httptcocIYXfTMZTkSPY,19.0
54,2014-01-05,RT StockTwits Here are the 100 most popular and most trending stocks of the last year httptcojpg5ydFnv8 SPY FB AAPL,19.0
55,2014-01-05,AAPL  Forecasting Apple Using EvidenceDriven Technical Analysis Subscribers Only TARGET  425 httptcoVSGZNLCC5P,19.0
