,Date,Tweets,Prices,Comp,Negative,Neutral,Positive,target
0,2013-12-31,RT philstockworld Summary of Yesterdays Webcast Featuring AAPL WYNN GOOG LGF TraderEducation Options HedgingStrategies  http,20.036428,0.0,0.0,1.0,0.0,1
1,2014-01-01,RT philstockworld Summary of Yesterdays Webcast Featuring AAPL WYNN GOOG LGF TraderEducation Options HedgingStrategies  http,19.895535000000002,0.0,0.0,1.0,0.0,1
2,2014-01-01,iTV Will Boost Apple httptco8dup4cQc08 AAPL APPLE,19.895535000000002,0.4019,0.0,0.69,0.31,2
3,2014-01-01,iPhone users are more intelligent than Samsung BlackBerry and HTC owners AAPL BBRY httptcoLGxRwuypyc,19.895535000000002,0.5095,0.0,0.798,0.202,2
4,2014-01-01,2013 WrapUp And Trading Set Review  Part III httptco7UbPGZRBGv AAPL APPLE BP CNW CSCO CSX CVX GOOG HPQ IBM INTC NGG,19.895535000000002,0.0,0.0,1.0,0.0,1
5,2014-01-01,Apple Screwed Up Big Time httptcoQ2Pzk2VOMm AMZN AAPL,19.895535000000002,-0.4939,0.314,0.686,0.0,0
6,2014-01-01,Big Tunas Stocks  AAPL Daily Chart  Range is Getting httptcovwkwgXx15k,19.895535000000002,0.0,0.0,1.0,0.0,1
7,2014-01-02,AAPL Kara Swisher and Walt Mossberg launch Recode httptcoZvJJiohosy,19.754642,0.0,0.0,1.0,0.0,1
8,2014-01-02,AAPL Lets not let the WF downgrade overshadow Cantors 2014 top large cap pick with a 777 price target,19.754642,0.2023,0.0,0.904,0.096,2
9,2014-01-02,Will 2014 be Apples year of innovation httptcoGkDVTnpbDT or year of grossmargin pressure httptcov1pFrhK4QQ AAPL,19.754642,0.1027,0.124,0.73,0.146,2
10,2014-01-02,AAPL  PreMarket Apple Downgraded on Margin Concerns Stocks to Start 2014  gt httptcoJ7APp6oJ6v stock stocks stockaction,19.754642,0.2732,0.0,0.877,0.123,2
11,2014-01-02,AAPL How Is Tim Cook Doing Taking Over From The Legendary Steve Jobs httptcoA6gnvXPLaN,19.754642,0.0,0.0,1.0,0.0,1
12,2014-01-02,RT MWAAPL Apple slips Urban Outfitters up on analyst call httptcoret4iajdrQ AAPL,19.754642,0.0,0.0,1.0,0.0,1
13,2014-01-02,AAPL Cleaning the Mobile Germ Warehouse httptcoccmsRgWSjd,19.754642,0.0,0.0,1.0,0.0,1
14,2014-01-02,This weeks AAPL 550 puts are already up a dollar today,19.754642,0.0,0.0,1.0,0.0,1
15,2014-01-02,Thursday headlines include news on CPB NYT AAPL WMT and NFLX httptcoSI4DNYMz1H,19.754642,0.0,0.0,1.0,0.0,1
16,2014-01-02,AAPL The Zacks Analyst Blog Highlights Apple Nokia httptcocB6q1uGILs Microsoft and SolarWinds httptcod6s3BVCfsR,19.754642,0.0,0.0,1.0,0.0,1
17,2014-01-02,I bought a new TV this year Would probably have been a AAPL TV if they made one competition didnt seem to be very strong,19.754642,0.5563,0.0,0.854,0.146,2
18,2014-01-02,AAPL video Apple Denies Working With NSA and More httptcoVDXNDglE2c,19.754642,-0.4215,0.237,0.763,0.0,0
19,2014-01-02,RT philstockworld Our Top 3 Trade Ideas for 2014 and Two 1000 Futures Wins Already in the Bank GLD USO AAPL  httptcoNlmUMm2iiH,19.754642,0.6705,0.0,0.776,0.224,2
20,2014-01-02,AAPL  Apple Will Be The Main Victim Of Microsoft And Google Cutthroat Smartp gt httptcoRkPYPzAjpx stock stocks stockaction,19.754642,0.0,0.104,0.792,0.104,1
21,2014-01-02,RT FortuneMagazine Apple gained 8 in 2013 vs SampPs 30 but dont cry for AAPL investors At least not the long term ones httptcoX,19.754642,0.6287,0.0,0.804,0.196,2
22,2014-01-02,AAPL US STOCKSWall St kicks off New Year on lower note httptco6fybNFG2Jj,19.754642,-0.296,0.167,0.833,0.0,0
23,2014-01-02,What are your top picks for Q1 2014 Here are mine AAPL CREE FB CLDX SNE,19.754642,0.2023,0.0,0.893,0.107,2
24,2014-01-02,AAPL  Chinas Xiaomi says to more than double smartphone sales in 2014 gt httptco3Cd2Qt5rhD stock stocks stockaction,19.754642,0.2732,0.0,0.884,0.116,2
25,2014-01-02,AAPL BlackBerry and singer Alicia Keys to part ways httptcoIu5q7k4g1O,19.754642,0.0,0.0,1.0,0.0,1
26,2014-01-02,Emylers Cheekys Board AAPL Up to date company activities and other impo httptco6PLcfrTV55,19.754642,0.0,0.0,1.0,0.0,1
27,2014-01-02,DrPaulyDeSantis AAPL having breathing difficulties,19.754642,-0.296,0.355,0.645,0.0,0
28,2014-01-02,New Education SupplyDemand Zones AccumulationDistribution amp Price Patterns httptcoIA7BJllORO SPY QQQ IWM AAPL TWTR STUDY,19.754642,0.0,0.0,1.0,0.0,1
29,2014-01-02,RT StockTwits Heres how Apple could be making a huge push into healthcare gt httptcond4QHzdEyX AAPL,19.754642,0.5267,0.0,0.747,0.253,2
30,2014-01-02,AAPL  Wall St kicks off New Year on lower note gt httptcoGUoph3R13c stock stocks stockaction,19.754642,-0.0258,0.127,0.751,0.121,0
31,2014-01-03,the good support for AAPL today is 54102 httptcoFMMliQrLgE,19.320715,0.6808,0.0,0.556,0.444,2
32,2014-01-03,Bloggers trading AAPL stupid againNSA malicious hackers amp thenBefore it becomes farceMaybe next try to parseWhat any means amp when,19.320715,-0.5267,0.152,0.848,0.0,0
33,2014-01-03,AAPL new lows still holding half lotto 54250 puts,19.320715,-0.2023,0.184,0.816,0.0,0
34,2014-01-03,RT nanexllc 50 of trades in AAPL today are for less than 100 shares oddlots,19.320715,0.235,0.0,0.878,0.122,2
35,2014-01-03,Overall market VIX is down 35 where as AAPL IV is up 372 If this is not a preevent shakedown then there is no more trading for me,19.320715,-0.0803,0.076,0.859,0.065,0
36,2014-01-03,AAPL  Online Retail Sales Up in Q4 gt httptcoEHm08GMOYv stock stocks stockaction,19.320715,0.2732,0.0,0.84,0.16,2
37,2014-01-03,Best position Today  GLD  noncore long   Worst  AAPL corelong   FVAM  stockaction,19.320715,0.0258,0.237,0.52,0.243,2
38,2014-01-03,AAPL is soooo pathetic One has to wonder if iCahn is selling 544 must hold,19.320715,-0.5719,0.209,0.791,0.0,0
39,2014-01-03,AAPL BlackBerry sues Ryan Seacrests company over iPhone keyboard httptco1XLRHPWZ7p,19.320715,0.0,0.0,1.0,0.0,1
40,2014-01-03,RT 2kaykim hmm not so much for AAPL  we got this double top threat goin on here,19.320715,-0.3818,0.168,0.743,0.089,0
41,2014-01-03,BBRY AAPL BlackBerry files suit against Typo Full Story httptcoDH3gCB3oQM,19.320715,0.0,0.0,1.0,0.0,1
